,name,salary,area_name,published_at
0,Технический консультант.,12201.439999999999,Санкт-Петербург,2003-09-19 14:42:13.040000
1,Broadcast encryption engineer,63568.8,Южная Корея,2003-01-31 18:24:11.030000
2,Embedded OS engineering manager,63568.8,Москва,2003-01-31 18:25:43.030000
3,Начальник Управления автоматизации крупного банка (ТОР-30),122014.4,Москва,2003-09-09 00:00:00.040000
4,Специалист (настройщик) модуля BASIS SAP R/3,91842.6,Москва,2003-10-06 00:00:00.040000
5,Менеджер по продвижению программных продуктов,31380.1,Москва,2003-04-01 18:28:37.040000
6,Технический писатель,9414.029999999999,Москва,2003-04-01 18:35:22.040000
7,Key account manager (продажа компьютерного оборудования),45755.4,Москва,2003-09-19 00:00:00.040000
8,Системный инженер,36737.04,Москва,2003-10-06 00:00:00.040000
9,"Project manager (ERP, SCM)",61007.2,Москва,2003-09-05 00:00:00.040000
10,Бизнес-аналитик,37322.52,Москва,2003-05-14 16:18:16.040000
11,Аccount manager,91510.8,Москва,2003-09-10 00:00:00.040000
12,Менеджер по работе с клиентами,59890.2,Москва,2003-11-24 00:00:00.030000
13,Корреспондент-редактор медицинского интернет-портала,24402.879999999997,Москва,2003-09-21 00:00:00.040000
14,Редактор медицинского портала,29738.7,Москва,2003-12-11 00:00:00.030000
15,Технический писатель,23956.08,Москва,2003-11-19 00:00:00.030000
16,Продакт-менеджер,153071.0,Москва,2003-10-21 00:00:00.040000
17,Руководитель представительства,33640.0801,Челябинск,2003-08-28 00:00:00.040000
18,Sales representative,30503.6,Москва,2003-09-06 00:00:00.040000
19,Специалист по оптимизации товарных запасов,49134.4,Москва,2003-06-11 19:11:29.040000
20,Сервис-менеджер,24567.2,Москва,2003-06-18 17:38:56.040000
21,Менеджер по закупкам,30709.0,Москва,2003-06-19 12:41:24.040000
22,Sales manager,30709.0,Москва,2003-06-19 14:37:30.040000
23,Сервис-инженер.,10597.685,Санкт-Петербург,2003-08-19 00:00:00.040000
24,Программист группы внедрения,45921.3,Москва,2003-10-13 00:00:00.040000
25,Программист 1С,39362.83,Москва,2003-08-22 00:00:00.040000
26,Cпециалист в отдел внедрения,36604.32,Москва,2003-09-25 00:00:00.040000
27,Менеджер по продажам телекоммуникационного оборудования,75952.25,Москва,2003-07-09 12:23:21.040000
